year_birth,education,marital_status,income,kidhome,teenhome,date,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,response,customer_age,age_group,day_as_customer,loyality_tier,is_parent,household_size,Total_Spending
1971,Phd,Married,37126.0,1,0,2014-03-30,9,45,3,9,4,4,7,1,1,2,2,6,1,54,45-60,4040,very loyal,1,2,72
1953,Graduation,Married,47703.0,0,1,2013-05-29,95,359,0,134,13,26,123,4,6,3,8,5,0,72,60-80,4345,very loyal,0,2,655
1959,Graduation,Married,61180.0,0,1,2014-04-23,70,403,24,29,6,24,218,2,5,5,6,3,0,66,60-80,4016,very loyal,0,2,704
1954,Graduation,Married,38998.0,1,1,2012-11-03,92,34,1,14,0,0,5,3,2,0,3,8,0,71,60-80,4552,very loyal,1,3,54
1991,Graduation,Single,8028.0,0,0,2012-09-18,62,73,18,66,7,12,2,15,0,1,0,19,0,34,30-45,4598,very loyal,0,1,178
1962,Graduation,Married,76081.0,0,0,2014-05-23,85,292,30,415,63,33,200,1,4,5,4,2,0,63,60-80,3986,very loyal,0,1,1033
1986,Graduation,Married,34728.0,1,0,2013-07-30,2,14,0,16,0,0,6,1,1,1,2,6,1,39,30-45,4283,very loyal,1,2,36
1965,Master,Single,33168.0,0,1,2012-10-13,0,80,1,37,0,1,3,3,2,1,4,7,0,60,45-60,4573,very loyal,0,2,122
1966,Master,Married,33585.0,0,1,2013-09-25,91,30,11,33,13,6,29,1,2,0,4,4,0,59,45-60,4226,very loyal,0,2,122
1960,Phd,Married,77037.0,0,1,2013-10-13,3,463,96,333,168,53,10,1,7,7,12,3,0,65,60-80,4208,very loyal,0,2,1123
1984,Graduation,Married,35196.0,1,0,2012-11-13,68,75,12,141,43,39,187,6,6,1,5,8,1,41,30-45,4542,very loyal,1,2,497
1966,Graduation,Married,44529.0,0,1,2013-07-05,98,538,13,91,17,6,26,6,6,2,11,5,0,59,45-60,4308,very loyal,0,2,691
1965,2N Cycle,Married,70924.0,0,0,2014-04-07,41,635,114,254,132,152,76,1,6,6,7,3,0,60,45-60,4032,very loyal,0,1,1363
1966,Phd,Married,28764.0,1,1,2014-06-05,16,8,0,3,0,0,1,1,1,0,2,8,0,59,45-60,3973,very loyal,1,3,12
1949,Phd,Married,69098.0,0,0,2013-02-16,82,1315,22,780,145,0,178,1,7,8,9,5,0,76,60-80,4447,very loyal,0,1,2440
1970,2N Cycle,Divorced,25959.0,1,1,2013-02-14,1,4,2,12,7,5,26,2,1,2,2,6,1,55,45-60,4449,very loyal,1,3,56
1983,Master,Married,27100.0,1,0,2013-04-05,64,12,0,13,2,0,10,1,1,0,3,7,0,42,30-45,4399,very loyal,1,2,37
1985,Graduation,Single,70596.0,0,0,2012-10-05,68,347,44,534,17,0,26,1,3,5,12,2,0,40,30-45,4581,very loyal,0,1,968
1974,Graduation,Married,42557.0,0,1,2012-08-29,98,192,5,53,0,5,15,4,6,1,4,8,0,51,45-60,4618,very loyal,0,2,270
1951,Phd,Married,53312.0,0,0,2013-08-09,32,241,0,12,0,0,25,1,5,1,5,7,0,74,60-80,4273,very loyal,0,1,278
1952,Graduation,Single,72228.0,0,0,2012-11-27,87,631,28,491,30,14,56,1,6,7,8,3,0,73,60-80,4528,very loyal,0,1,1250
1987,Graduation,Married,67605.0,0,0,2013-03-31,84,336,28,282,184,54,54,1,2,8,6,1,0,38,30-45,4404,very loyal,0,1,938
1949,Master,Married,62845.0,1,1,2012-10-01,3,1099,0,45,0,0,34,11,3,4,10,8,0,76,60-80,4585,very loyal,1,3,1178
1958,Graduation,Married,65196.0,0,2,2013-07-25,34,743,19,181,12,0,200,2,7,6,11,5,0,67,60-80,4288,very loyal,0,3,1155
1987,Phd,Single,42000.0,0,0,2013-01-10,23,124,83,267,85,59,35,2,5,2,11,5,1,38,30-45,4484,very loyal,0,1,653
1973,Phd,Divorced,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,0,52,45-60,3990,very loyal,1,3,49
1964,Phd,Married,65526.0,0,1,2014-04-11,22,397,19,69,12,0,9,1,4,4,8,2,0,61,60-80,4028,very loyal,0,2,506
1961,Graduation,Married,16860.0,1,1,2012-09-12,19,10,4,4,3,3,14,3,1,1,3,7,0,64,60-80,4604,very loyal,1,3,38
1992,Graduation,Single,83528.0,0,0,2014-05-01,7,530,117,678,134,44,147,1,4,10,8,1,1,33,30-45,4008,very loyal,0,1,1650
1965,2N Cycle,Divorced,64176.0,0,1,2012-08-03,52,1215,33,249,64,116,149,8,8,9,8,6,0,60,45-60,4644,very loyal,0,2,1826
1956,Graduation,Divorced,22304.0,0,0,2012-08-04,91,3,2,7,0,4,2,1,1,0,2,8,0,69,60-80,4643,very loyal,0,1,18
1978,Graduation,Married,67023.0,0,0,2014-03-04,93,444,44,382,11,8,17,1,3,7,13,2,0,47,45-60,4066,very loyal,0,1,906
1971,Phd,Married,32892.0,1,0,2014-05-25,78,26,0,15,2,1,2,2,3,0,3,8,0,54,45-60,3984,very loyal,1,2,46
1966,Graduation,Married,70713.0,0,1,2012-12-03,23,736,114,279,82,76,190,6,5,6,8,3,0,59,45-60,4522,very loyal,0,2,1477
1955,Graduation,Married,59925.0,0,1,2012-11-30,83,473,21,176,19,21,56,3,9,2,9,6,0,70,60-80,4525,very loyal,0,2,766
1953,Graduation,Married,39722.0,0,1,2014-02-24,92,32,0,5,2,0,8,2,2,0,3,5,0,72,60-80,4074,very loyal,0,2,47
1958,Graduation,Married,46610.0,0,0,2013-07-18,4,288,10,30,4,10,125,1,6,1,6,6,0,67,60-80,4295,very loyal,0,1,467
1961,Graduation,Married,88347.0,0,0,2013-07-03,32,1050,178,555,77,138,118,1,4,7,9,1,0,64,60-80,4310,very loyal,0,1,2116
1981,Phd,Married,87171.0,0,0,2013-05-01,27,1001,44,107,58,44,44,1,6,7,11,2,0,44,30-45,4373,very loyal,0,1,1298
1976,2N Cycle,Married,26907.0,1,1,2013-08-20,10,9,1,7,0,3,2,2,1,0,3,7,0,49,45-60,4262,very loyal,1,3,22
1968,Master,Single,50014.0,1,0,2014-01-22,9,234,14,77,19,10,42,2,4,1,8,5,0,57,45-60,4107,very loyal,1,2,396
1978,Phd,Married,41014.0,1,0,2013-04-22,65,7,2,6,2,0,3,1,1,0,2,7,0,47,45-60,4382,very loyal,1,2,20
1965,Graduation,Single,66294.0,0,0,2014-03-17,68,251,108,334,65,92,117,1,4,3,5,2,0,60,45-60,4053,very loyal,0,1,967
1971,Graduation,Married,36715.0,1,0,2012-11-17,16,172,10,125,21,13,16,6,7,2,4,9,1,54,45-60,4538,very loyal,1,2,357
1956,Graduation,Married,79456.0,0,0,2012-08-22,12,565,42,548,64,83,99,1,5,6,4,3,1,69,60-80,4625,very loyal,0,1,1401
1982,Graduation,Married,40479.0,1,0,2013-08-17,95,5,0,8,2,0,0,1,0,0,3,4,0,43,30-45,4265,very loyal,1,2,15
1970,Master,Single,75345.0,0,0,2013-02-02,16,918,57,842,99,38,133,1,5,8,6,3,1,55,45-60,4461,very loyal,0,1,2087
1977,Graduation,Married,54233.0,0,1,2013-02-04,46,652,8,158,21,0,142,4,11,6,5,8,0,48,45-60,4459,very loyal,0,2,981
1970,Graduation,Single,24163.0,1,1,2013-10-12,3,4,1,7,2,1,2,2,1,0,3,4,0,55,45-60,4209,very loyal,1,3,17
1958,Phd,Married,84460.0,0,0,2013-01-04,80,152,27,103,106,54,81,0,9,9,4,5,1,67,60-80,4490,very loyal,0,1,523
1983,Graduation,Married,43776.0,1,0,2014-05-03,77,8,0,9,2,1,3,1,1,0,2,6,0,42,30-45,4006,very loyal,1,2,23
1958,Phd,Single,71691.0,0,0,2014-03-17,0,336,130,411,240,32,43,1,4,7,5,2,1,67,60-80,4053,very loyal,0,1,1192
1973,Phd,Married,85844.0,0,0,2014-05-29,62,938,19,843,25,95,38,1,6,6,7,2,0,52,45-60,3980,very loyal,0,1,1958
1974,Phd,Single,39190.0,1,0,2014-04-26,91,68,8,18,19,8,12,2,2,1,4,5,0,51,45-60,4013,very loyal,1,2,133
1959,Graduation,Married,71367.0,0,0,2013-08-23,24,227,23,389,42,21,75,1,4,5,7,2,0,66,60-80,4259,very loyal,0,1,777
1972,Phd,Single,38578.0,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,53,45-60,4321,very loyal,1,3,73
1965,Phd,Married,57236.0,1,1,2014-03-12,22,105,0,9,2,1,4,3,2,1,4,3,0,60,45-60,4058,very loyal,1,3,121
1979,Graduation,Single,61825.0,0,1,2013-08-07,56,162,50,100,55,30,27,1,4,2,8,4,0,46,45-60,4275,very loyal,0,2,424
1958,Graduation,Divorced,79803.0,0,1,2014-06-02,54,574,8,216,21,16,33,1,4,3,5,1,0,67,60-80,3976,very loyal,0,2,868
1986,2N Cycle,Single,80910.0,0,0,2012-10-31,71,160,80,369,67,39,41,1,3,3,8,1,0,39,30-45,4555,very loyal,0,1,756
1982,Master,Married,27590.0,1,0,2013-04-23,38,6,0,5,0,0,1,1,1,0,2,7,0,43,30-45,4381,very loyal,1,2,12
1979,Graduation,Married,56775.0,0,1,2013-01-02,62,614,35,160,58,35,35,2,5,8,10,5,0,46,45-60,4492,very loyal,0,2,937
1975,Graduation,Divorced,83829.0,0,0,2013-10-08,78,897,161,430,186,161,27,0,4,7,6,1,1,50,45-60,4213,very loyal,0,1,1862
1979,2N Cycle,Married,54210.0,0,1,2013-05-20,18,70,54,109,80,9,45,2,4,1,7,5,0,46,45-60,4354,very loyal,0,2,367
1986,Graduation,Married,38508.0,1,0,2013-08-02,95,120,19,206,25,19,54,6,7,2,5,8,0,39,30-45,4280,very loyal,1,2,443
1970,Graduation,Married,53187.0,1,0,2013-10-26,66,211,2,30,7,7,10,2,4,1,6,5,0,55,45-60,4195,very loyal,1,2,267
1972,Graduation,Married,30023.0,1,0,2014-03-24,28,11,0,16,7,6,21,1,2,0,3,8,0,53,45-60,4046,very loyal,1,2,61
1960,Phd,Single,76045.0,0,0,2013-11-15,78,760,53,400,17,93,0,1,4,5,11,2,0,65,60-80,4175,very loyal,0,1,1323
1952,Phd,Married,50870.0,0,1,2014-06-19,13,53,0,8,0,0,2,1,2,0,3,5,0,73,60-80,3959,very loyal,0,2,63
1970,2N Cycle,Married,15315.0,0,0,2013-08-03,27,7,4,13,15,8,17,2,2,0,4,5,0,55,45-60,4279,very loyal,0,1,64
1974,2N Cycle,Married,65463.0,1,0,2014-01-30,17,391,32,70,21,32,16,2,6,2,9,5,0,51,45-60,4099,very loyal,1,2,562
1965,Graduation,Married,66480.0,1,1,2014-05-31,71,199,9,57,20,21,6,7,4,1,7,4,0,60,45-60,3978,very loyal,1,3,312
1954,Graduation,Divorced,76773.0,0,0,2013-02-25,79,516,56,449,86,33,16,1,2,2,11,1,0,71,60-80,4438,very loyal,0,1,1156
1983,2N Cycle,Single,81698.0,0,0,2013-03-01,1,709,45,115,30,160,45,1,8,2,5,5,1,42,30-45,4434,very loyal,0,1,1104
1973,Phd,Single,54466.0,1,1,2014-02-09,78,12,0,4,0,0,0,1,1,0,2,5,0,52,45-60,4089,very loyal,1,3,16
1960,Master,Single,98777.0,0,0,2014-02-17,23,1000,19,711,125,115,38,0,4,6,9,1,0,65,60-80,4081,very loyal,0,1,2008
1984,Phd,Single,16269.0,1,0,2013-08-30,75,19,3,18,3,1,0,3,3,0,3,8,0,41,30-45,4252,very loyal,1,2,44
1971,Graduation,Married,71819.0,0,1,2013-08-28,70,1224,28,140,0,14,168,3,3,3,5,6,0,54,45-60,4254,very loyal,0,2,1574
1983,Phd,Married,33569.0,1,0,2013-10-16,10,16,2,18,3,0,24,1,1,1,2,8,1,42,30-45,4205,very loyal,1,2,63
1983,Master,Married,36262.0,0,0,2013-09-20,24,88,39,54,64,28,153,1,3,5,3,6,1,42,30-45,4231,very loyal,0,1,426
1966,Basic,Married,22634.0,0,0,2013-01-16,47,2,23,11,8,6,46,1,2,1,2,8,0,59,45-60,4478,very loyal,0,1,96
1978,2N Cycle,Married,47025.0,0,1,2013-09-12,98,508,11,59,23,5,29,5,11,1,6,9,0,47,45-60,4239,very loyal,0,2,635
1968,Graduation,Single,70566.0,0,1,2013-10-06,4,381,28,215,84,28,21,2,6,5,9,3,0,57,45-60,4215,very loyal,0,2,757
1979,Phd,Married,31605.0,1,0,2012-11-22,15,74,0,42,2,1,6,2,2,1,4,7,0,46,45-60,4533,very loyal,1,2,125
1973,Master,Divorced,52034.0,1,1,2013-05-17,67,146,0,93,7,13,73,5,4,2,5,7,0,52,45-60,4357,very loyal,1,3,332
1979,Graduation,Single,48526.0,1,0,2013-12-24,32,23,17,23,43,20,9,1,2,1,4,3,0,46,45-60,4136,very loyal,1,2,135
1954,Graduation,Married,46734.0,0,1,2012-11-18,40,110,5,137,26,23,29,2,6,1,5,7,0,71,60-80,4537,very loyal,0,2,330
1962,Graduation,Divorced,39552.0,1,1,2012-12-18,54,165,3,147,4,24,41,7,6,2,5,8,1,63,60-80,4507,very loyal,1,3,384
1966,Graduation,Single,86358.0,1,1,2012-08-08,78,957,47,494,82,47,95,4,5,3,6,8,0,59,45-60,4639,very loyal,1,3,1722
1977,Graduation,Married,46931.0,2,1,2014-04-24,94,41,0,17,3,1,16,2,1,1,3,3,0,48,45-60,4015,very loyal,1,4,78
1985,Basic,Single,16581.0,0,0,2013-01-12,51,1,3,4,2,3,11,1,0,0,3,4,0,40,30-45,4482,very loyal,0,1,24
1952,2N Cycle,Divorced,63998.0,0,0,2013-12-20,42,176,29,818,0,33,112,1,7,6,11,4,1,73,60-80,4140,very loyal,0,1,1168
1951,Master,Married,67381.0,0,1,2013-01-15,67,815,8,53,11,0,70,4,2,2,9,7,0,74,60-80,4479,very loyal,0,2,957
1967,Graduation,Single,25930.0,1,1,2013-10-10,87,6,1,2,2,0,4,1,1,0,2,7,0,58,45-60,4211,very loyal,1,3,15
1978,Graduation,Married,42693.0,1,0,2014-06-07,29,8,4,20,6,3,16,1,1,0,3,5,0,47,45-60,3971,very loyal,1,2,57
1976,Graduation,Married,85606.0,0,1,2012-11-12,89,717,42,864,219,30,84,2,6,7,9,3,0,49,45-60,4543,very loyal,0,2,1956
1985,Graduation,Single,72903.0,0,0,2013-10-29,74,1067,138,750,0,19,39,1,7,5,8,4,1,40,30-45,4192,very loyal,0,1,2013
1974,2N Cycle,Married,49669.0,1,0,2014-05-24,97,166,5,107,11,8,29,2,5,1,6,6,0,51,45-60,3985,very loyal,1,2,326
1968,Phd,Married,36778.0,1,1,2012-08-05,63,29,4,34,2,4,4,3,3,0,3,9,0,57,45-60,4642,very loyal,1,3,77
1962,Phd,Divorced,85696.0,0,0,2013-05-03,88,714,76,395,116,0,12,1,4,6,9,1,1,63,60-80,4371,very loyal,0,1,1313
1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,36,30-45,3987,very loyal,0,1,30
1961,Graduation,Married,49678.0,0,1,2013-02-02,81,229,5,56,3,2,20,2,6,2,4,7,0,64,60-80,4461,very loyal,0,2,315
1953,Master,Married,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,72,60-80,4323,very loyal,0,2,660
1989,Graduation,Married,37155.0,1,0,2013-01-31,51,23,0,26,7,15,3,1,2,0,4,5,0,36,30-45,4463,very loyal,1,2,74
1978,2N Cycle,Divorced,21282.0,1,0,2014-05-11,76,1,5,8,4,8,20,2,2,1,2,6,0,47,45-60,3998,very loyal,1,2,46
1962,Phd,Single,33419.0,0,1,2013-08-17,76,56,0,12,0,0,18,2,2,0,4,7,0,63,60-80,4265,very loyal,0,2,86
1945,Graduation,Widowed,63285.0,0,0,2013-11-05,84,508,124,249,50,38,134,1,6,5,13,3,0,80,60-80,4185,very loyal,0,1,1103
1974,Master,Married,21255.0,1,0,2014-01-21,56,29,0,25,2,2,3,4,2,1,4,4,0,51,45-60,4108,very loyal,1,2,61
1981,Graduation,Married,42162.0,1,0,2013-11-19,31,46,7,59,2,4,27,2,3,1,3,6,1,44,30-45,4171,very loyal,1,2,145
1956,Graduation,Married,54450.0,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,69,60-80,4602,very loyal,1,3,684
1954,Phd,Married,57744.0,0,1,2013-11-12,91,350,3,39,0,0,19,2,9,1,4,8,0,71,60-80,4178,very loyal,0,2,411
1986,Graduation,Single,26576.0,1,0,2012-10-13,40,10,0,8,0,0,9,1,1,0,2,9,1,39,30-45,4573,very loyal,1,2,27
1943,Phd,Widowed,57513.0,0,0,2013-07-06,59,735,40,183,52,20,30,2,9,3,13,6,0,82,80+,4307,very loyal,0,1,1060
1964,Graduation,Married,68142.0,0,1,2012-08-29,96,897,126,196,91,112,37,3,10,4,7,6,0,61,60-80,4618,very loyal,0,2,1459
1979,Graduation,Married,7500.0,0,1,2012-08-29,61,5,2,3,3,0,5,1,1,0,2,8,0,46,45-60,4618,very loyal,0,2,18
1974,Graduation,Married,83145.0,0,0,2012-09-22,14,777,35,731,39,137,114,1,5,9,11,2,1,51,45-60,4594,very loyal,0,1,1833
1960,Master,Married,54197.0,0,1,2014-04-03,16,162,6,37,6,13,13,2,1,3,6,1,0,65,60-80,4036,very loyal,0,2,237
1963,Phd,Single,23091.0,1,1,2014-05-28,98,35,0,11,0,0,2,4,2,1,3,7,0,62,60-80,3981,very loyal,1,3,48
1976,Graduation,Married,46049.0,1,1,2013-07-21,11,342,9,112,19,14,19,10,5,2,9,7,1,49,45-60,4292,very loyal,1,3,515
1974,Graduation,Married,56715.0,0,0,2012-12-05,52,258,105,239,237,172,9,1,7,3,4,4,0,51,45-60,4520,very loyal,0,1,1020
1961,Graduation,Married,79410.0,0,0,2014-05-29,19,658,80,483,123,13,13,1,3,2,5,1,0,64,60-80,3980,very loyal,0,1,1370
1951,Graduation,Married,57304.0,0,1,2013-03-11,61,356,80,329,138,17,106,2,7,6,10,5,0,74,60-80,4424,very loyal,0,2,1026
1965,Graduation,Married,44375.0,0,1,2014-03-23,73,213,5,28,7,7,41,1,4,1,6,5,0,60,45-60,4047,very loyal,0,2,301
1956,Graduation,Married,54450.0,1,1,2012-09-14,0,454,0,171,8,19,32,12,9,2,8,8,0,69,60-80,4602,very loyal,1,3,684
1965,Graduation,Married,59594.0,0,1,2012-10-20,74,457,4,29,0,0,9,1,8,1,7,7,0,60,45-60,4566,very loyal,0,2,499
1994,Graduation,Married,80685.0,0,0,2012-08-22,55,241,45,604,34,26,54,1,6,4,10,2,0,31,30-45,4625,very loyal,0,1,1004
1974,Phd,Married,40344.0,0,1,2013-10-13,48,210,0,6,0,0,2,2,4,1,5,7,0,51,45-60,4208,very loyal,0,2,218
1972,Graduation,Married,62710.0,0,1,2013-05-23,53,441,35,83,7,29,11,4,4,2,12,4,0,53,45-60,4351,very loyal,0,2,606
1968,2N Cycle,Married,48985.0,0,1,2013-07-05,13,19,13,18,10,7,8,1,1,1,3,3,0,57,45-60,4308,very loyal,0,2,75
1968,Graduation,Married,35322.0,1,2,2012-08-22,34,28,9,37,12,7,13,3,2,0,4,8,0,57,45-60,4625,very loyal,1,4,106
1948,Graduation,Married,77142.0,0,0,2013-05-29,54,476,75,162,29,151,97,1,4,4,8,2,0,77,60-80,4345,very loyal,0,1,990
1969,Graduation,Single,81657.0,0,0,2014-01-22,69,364,40,425,158,60,50,1,3,4,8,1,0,56,45-60,4107,very loyal,0,1,1097
1996,Basic,Married,14421.0,0,0,2014-02-17,81,0,0,2,3,3,8,1,1,0,2,5,0,29,<30,4081,very loyal,0,1,16
1974,2N Cycle,Married,20130.0,0,0,2014-03-17,99,0,6,3,7,6,12,1,1,0,3,8,0,51,45-60,4053,very loyal,0,1,34
1990,Phd,Married,74214.0,0,0,2012-08-26,3,863,83,547,86,99,33,1,8,2,5,5,0,35,30-45,4621,very loyal,0,1,1711
1957,Master,Married,66726.0,1,1,2014-01-12,61,349,7,35,0,0,47,3,8,2,4,7,0,68,60-80,4117,very loyal,1,3,438
1979,Basic,Married,23724.0,1,0,2013-01-08,65,5,23,15,0,18,14,2,2,0,3,8,0,46,45-60,4486,very loyal,1,2,75
1960,Master,Married,47353.0,0,1,2013-11-13,93,184,2,19,8,8,4,3,2,2,6,5,0,65,60-80,4177,very loyal,0,2,225
1952,Master,Married,33444.0,1,1,2012-11-03,24,8,0,8,0,0,2,1,1,0,2,8,0,73,60-80,4552,very loyal,1,3,18
1981,Graduation,Married,54386.0,0,1,2013-05-17,8,277,21,64,62,21,25,2,3,2,10,3,0,44,30-45,4357,very loyal,0,2,470
1981,Graduation,Divorced,28510.0,1,1,2013-04-13,72,44,5,19,0,4,19,3,2,0,4,5,0,44,30-45,4391,very loyal,1,3,91
1991,Master,Single,90638.0,0,0,2014-02-13,29,1156,120,915,94,144,96,1,3,4,10,1,0,34,30-45,4085,very loyal,0,1,2525
1950,Graduation,Married,48070.0,0,1,2013-01-13,33,373,14,83,6,9,19,3,8,2,6,7,0,75,60-80,4481,very loyal,0,2,504
1957,Graduation,Married,43140.0,0,1,2013-01-05,68,134,8,76,6,0,11,1,4,1,5,6,0,68,60-80,4489,very loyal,0,2,235
1961,Phd,Divorced,54959.0,0,1,2013-01-19,55,1148,0,60,0,0,24,3,9,5,4,7,1,64,60-80,4475,very loyal,0,2,1232
1958,Basic,Single,15056.0,1,1,2013-05-03,76,6,12,3,21,6,40,5,2,2,3,5,0,67,60-80,4371,very loyal,1,3,88
1971,Graduation,Single,26954.0,1,0,2014-05-08,17,4,1,11,0,0,1,1,1,0,2,7,0,54,45-60,4001,very loyal,1,2,17
1985,Graduation,Single,22327.0,1,0,2013-08-02,94,5,4,8,2,0,5,1,1,0,3,5,0,40,30-45,4280,very loyal,1,2,24
1965,Graduation,Married,44393.0,1,1,2013-08-22,86,24,2,20,2,2,10,2,1,0,4,4,0,60,45-60,4260,very loyal,1,3,60
1952,Phd,Single,62000.0,0,1,2013-08-25,25,899,0,101,0,0,20,1,6,6,13,4,0,73,60-80,4257,very loyal,0,2,1020
1962,Phd,Married,31497.0,0,1,2012-12-06,22,108,1,28,13,1,4,2,3,1,4,8,0,63,60-80,4519,very loyal,0,2,155
1974,2N Cycle,Married,45894.0,0,2,2014-02-27,15,27,2,7,0,2,13,1,1,0,3,5,0,51,45-60,4071,very loyal,0,3,51
1970,Master,Divorced,78579.0,0,0,2012-12-22,35,816,66,549,216,66,99,1,5,6,4,3,1,55,45-60,4503,very loyal,0,1,1812
1969,Master,Widowed,67369.0,0,1,2012-11-17,81,1298,0,70,37,14,42,4,7,4,10,4,1,56,45-60,4538,very loyal,0,2,1461
1960,Graduation,Divorced,58401.0,0,1,2014-04-20,55,10,0,11,17,29,29,1,1,2,2,4,0,65,60-80,4019,very loyal,0,2,96
1952,Graduation,Single,62307.0,0,1,2014-02-17,94,87,13,34,10,6,10,1,4,0,4,5,0,73,60-80,4081,very loyal,0,2,160
1969,Master,Married,43641.0,1,1,2013-04-22,50,57,2,51,4,2,23,3,2,1,4,6,0,56,45-60,4382,very loyal,1,3,139
1968,Master,Divorced,63841.0,0,1,2013-04-21,64,635,15,100,20,7,131,1,9,3,9,6,0,57,45-60,4383,very loyal,0,2,908
1965,2N Cycle,Married,46891.0,0,1,2013-09-01,91,43,12,23,29,15,61,1,2,1,4,4,0,60,45-60,4250,very loyal,0,2,183
1969,Master,Married,70091.0,1,0,2013-03-31,11,964,34,137,15,0,11,2,5,2,10,8,0,56,45-60,4404,very loyal,1,2,1161
1972,Phd,Married,78075.0,0,0,2014-04-05,72,572,8,259,34,35,80,1,3,5,5,1,0,53,45-60,4034,very loyal,0,1,988
1961,2N Cycle,Widowed,59184.0,0,1,2012-09-09,6,341,142,113,259,151,66,3,6,6,12,5,0,64,60-80,4607,very loyal,0,2,1072
1977,Graduation,Married,54809.0,1,1,2013-09-11,0,63,6,57,13,13,22,4,2,1,5,4,0,48,45-60,4240,very loyal,1,3,174
1959,Graduation,Married,58113.0,0,1,2013-01-25,66,221,104,169,102,78,84,3,9,2,8,7,0,66,60-80,4469,very loyal,0,2,758
1958,Master,Married,51412.0,0,1,2013-12-31,42,140,3,29,4,5,14,2,3,2,4,4,0,67,60-80,4129,very loyal,0,2,195
1979,Graduation,Divorced,15287.0,1,0,2012-10-10,60,1,2,8,4,3,13,2,1,1,2,7,1,46,45-60,4576,very loyal,1,2,31
1957,Master,Married,66636.0,0,0,2013-08-17,64,291,10,689,84,10,0,1,3,4,9,1,0,68,60-80,4265,very loyal,0,1,1084
1956,Master,Married,50965.0,0,1,2013-02-20,87,544,13,85,8,6,29,3,10,4,5,8,0,69,60-80,4443,very loyal,0,2,685
1965,Phd,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,60,45-60,4168,very loyal,0,1,1672
1990,Graduation,Married,18351.0,0,0,2013-10-29,1,1,12,9,0,14,7,1,2,0,3,7,0,35,30-45,4192,very loyal,0,1,43
1957,Phd,Married,40451.0,0,2,2014-02-16,54,35,0,4,0,0,10,1,1,1,2,5,0,68,60-80,4082,very loyal,0,3,49
1965,Graduation,Married,36317.0,0,1,2013-05-22,53,87,3,25,3,2,13,2,3,0,4,7,0,60,45-60,4352,very loyal,0,2,133
1957,Graduation,Married,42213.0,0,1,2013-10-12,96,309,3,24,4,3,20,2,5,1,7,7,0,68,60-80,4209,very loyal,0,2,363
1955,Graduation,Married,65748.0,0,1,2013-04-15,58,172,73,93,95,78,34,2,2,4,10,1,0,70,60-80,4389,very loyal,0,2,545
1972,Graduation,Married,77044.0,0,1,2013-10-27,12,625,38,242,50,34,76,2,7,11,11,4,0,53,45-60,4194,very loyal,0,2,1065
1969,Graduation,Married,74918.0,0,0,2013-03-12,78,972,59,913,25,19,59,1,5,9,6,3,0,56,45-60,4423,very loyal,0,1,2047
1972,Graduation,Married,56721.0,1,1,2012-10-31,64,157,6,39,6,13,75,5,4,1,5,6,0,53,45-60,4555,very loyal,1,3,296
1975,Graduation,Single,42160.0,1,1,2013-06-28,26,48,9,45,3,15,20,4,2,1,4,6,1,50,45-60,4315,very loyal,1,3,140
1965,Graduation,Single,61559.0,0,1,2013-07-17,8,279,83,88,32,14,34,1,4,2,10,3,0,60,45-60,4296,very loyal,0,2,530
1963,Phd,Married,33629.0,1,1,2012-08-08,49,132,0,16,0,0,4,5,3,1,4,9,0,62,60-80,4639,very loyal,1,3,152
1991,Phd,Married,68682.0,0,0,2013-10-06,56,919,0,505,99,30,45,1,4,9,10,2,0,34,30-45,4215,very loyal,0,1,1598
1963,Graduation,Single,34377.0,0,1,2013-01-19,55,62,0,22,3,1,26,2,2,2,2,7,0,62,60-80,4475,very loyal,0,2,114
1986,Basic,Single,8940.0,1,0,2012-08-22,25,1,45,3,4,6,42,3,3,1,3,8,0,39,30-45,4625,very loyal,1,2,101
1973,Graduation,Married,26228.0,1,0,2013-09-22,50,2,6,4,3,1,9,1,1,0,2,8,0,52,45-60,4229,very loyal,1,2,25
1957,2N Cycle,Divorced,77297.0,0,0,2013-01-26,84,408,61,109,48,122,41,1,5,7,9,4,0,68,60-80,4468,very loyal,0,1,789
1981,Graduation,Married,40211.0,1,1,2013-07-30,30,51,1,7,2,1,25,2,2,1,2,8,0,44,30-45,4283,very loyal,1,3,87
1958,Phd,Widowed,33438.0,1,1,2013-09-22,81,62,1,16,3,2,6,4,2,1,4,5,0,67,60-80,4229,very loyal,1,3,90
1959,Phd,Married,75032.0,0,1,2013-04-28,74,952,12,180,47,12,12,2,5,4,9,3,0,66,60-80,4376,very loyal,0,2,1215
